[09:37:11] PLATE=PQOJB-AFR-024 | CONF=0.52 | SRC=webcam | DUP=False | IMG=outputs\crop_20260602_093711_291_PQOJBAFR024.jpg
[09:37:25] PLATE=PVMJAO-AFR-024 | CONF=0.74 | SRC=webcam | DUP=False | IMG=outputs\crop_20260602_093725_735_PVMJAOAFR024.jpg
[09:37:29] PLATE=PMNJAB-AFR-024 | CONF=0.72 | SRC=webcam | DUP=False | IMG=outputs\crop_20260602_093729_012_PMNJABAFR024.jpg
[09:41:45] PLATE=6377-1W8R    | CONF=0.40 | SRC=image  | DUP=False | IMG=outputs\crop_20260602_094145_792_63771W8R.jpg
[09:42:23] PLATE=BE33TA       | CONF=0.98 | SRC=image  | DUP=False | IMG=outputs\crop_20260602_094223_127_BE33TA.jpg
[11:03:56] PLATE=V-1AFR-2011  | CONF=0.76 | SRC=image  | DUP=False | IMG=outputs\crop_20260602_110356_645_V1AFR2011.jpg
[13:19:02] PLATE=SIHEE        | CONF=0.11 | SRC=image  | DUP=False | IMG=outputs\crop_20260602_131902_647_SIHEE.jpg
[13:19:51] PLATE=PCZ-D5Q81    | CONF=0.60 | SRC=image  | DUP=False | IMG=outputs\crop_20260602_131951_976_PCZD5Q81.jpg
[13:19:52] PLATE=7-1          | CONF=0.13 | SRC=image  | DUP=False | IMG=outputs\crop_20260602_131952_926_71.jpg
[13:20:20] PLATE=BE33TA       | CONF=0.98 | SRC=image  | DUP=False | IMG=outputs\crop_20260602_132020_961_BE33TA.jpg
[13:21:22] PLATE=UNKNOWN      | CONF=0.00 | SRC=webcam | DUP=False | IMG=outputs\crop_20260602_132122_140_UNKNOWN.jpg
[13:21:25] PLATE=I36B-5TK     | CONF=1.00 | SRC=webcam | DUP=False | IMG=outputs\crop_20260602_132125_052_I36B5TK.jpg
[13:21:40] PLATE=STK-1368     | CONF=1.00 | SRC=webcam | DUP=False | IMG=outputs\crop_20260602_132140_582_STK1368.jpg
[15:20:21] PLATE=CU-409-C1L   | CONF=0.66 | SRC=image  | DUP=False | IMG=outputs\crop_20260602_152021_838_CU409C1L.jpg
[15:21:25] PLATE=STK-13683    | CONF=0.79 | SRC=webcam | DUP=False | IMG=outputs\crop_20260602_152125_794_STK13683.jpg
[15:21:27] PLATE=STK-13683    | CONF=0.61 | SRC=webcam | DUP=True | IMG=outputs\crop_20260602_152127_005_STK13683.jpg
[15:21:28] PLATE=I36B-51K     | CONF=0.93 | SRC=webcam | DUP=False | IMG=outputs\crop_20260602_152128_188_I36B51K.jpg
[15:21:29] PLATE=I36B-5TU     | CONF=0.67 | SRC=webcam | DUP=False | IMG=outputs\crop_20260602_152129_346_I36B5TU.jpg
[15:21:30] PLATE=I36B-5TK     | CONF=0.85 | SRC=webcam | DUP=False | IMG=outputs\crop_20260602_152130_465_I36B5TK.jpg
